epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,6004.87,0.41485,0.38018,0.57089,0.91636,0.85774,0.91162,0.94302,0.93718,0.85699,0.91087,0.9417,0.93265,0.16483,0.33568,0.30206,0.76277,0.007129,0.007129,0.007129
31,6203.34,0.4107,0.37213,0.57046,0.9146,0.90567,0.85613,0.94013,0.93592,0.90567,0.85613,0.9389,0.93164,0.15984,0.31074,0.30523,0.76183,0.00703,0.00703,0.00703
32,6400.67,0.40845,0.3736,0.56413,0.91427,0.90484,0.8875,0.94689,0.94181,0.90408,0.88675,0.94604,0.93756,0.15992,0.30378,0.28957,0.76118,0.006931,0.006931,0.006931
33,6599.25,0.41101,0.36438,0.56729,0.91655,0.89643,0.88335,0.94756,0.9428,0.89663,0.88316,0.94683,0.9382,0.16595,0.31446,0.29125,0.76211,0.006832,0.006832,0.006832
34,6796.66,0.4074,0.37458,0.55217,0.91385,0.88533,0.89988,0.94541,0.94115,0.88462,0.89913,0.94363,0.93686,0.15811,0.30705,0.27703,0.76102,0.006733,0.006733,0.006733
35,6994.61,0.40344,0.36402,0.54823,0.9134,0.85615,0.91495,0.9525,0.94749,0.85552,0.9142,0.95147,0.94382,0.15861,0.30921,0.28981,0.76111,0.006634,0.006634,0.006634
36,7193.69,0.40311,0.37076,0.54739,0.9133,0.87293,0.92103,0.95242,0.94771,0.87225,0.92028,0.95087,0.94478,0.15298,0.32561,0.27842,0.7606,0.006535,0.006535,0.006535
37,7390.77,0.40092,0.36422,0.5313,0.91148,0.89459,0.9231,0.95594,0.95183,0.89392,0.92235,0.95457,0.94745,0.15787,0.31789,0.27697,0.76111,0.006436,0.006436,0.006436
38,7589.46,0.39924,0.36782,0.53295,0.91066,0.91544,0.9096,0.95983,0.95618,0.91653,0.90955,0.95816,0.95204,0.15441,0.31961,0.26318,0.76051,0.006337,0.006337,0.006337
39,7787.87,0.39984,0.36042,0.53461,0.91323,0.91651,0.9034,0.9625,0.95789,0.92194,0.89466,0.96042,0.95261,0.15449,0.30719,0.27106,0.7604,0.006238,0.006238,0.006238
40,7989.69,0.39553,0.35564,0.51873,0.91058,0.90044,0.90444,0.94939,0.94602,0.8976,0.90147,0.94511,0.93997,0.15115,0.31128,0.27535,0.7602,0.006139,0.006139,0.006139
41,8190.71,0.39198,0.35933,0.52023,0.90793,0.89871,0.9184,0.95357,0.95027,0.89799,0.91765,0.95195,0.94555,0.14915,0.3098,0.26484,0.75892,0.00604,0.00604,0.00604
42,8391.14,0.3917,0.35226,0.51575,0.90818,0.89447,0.9106,0.95,0.9464,0.89447,0.9106,0.94864,0.94168,0.14978,0.30997,0.26876,0.75845,0.005941,0.005941,0.005941
43,8590.89,0.39018,0.3576,0.51584,0.90519,0.89896,0.91565,0.95493,0.95217,0.89896,0.91565,0.95383,0.94768,0.14838,0.29147,0.26074,0.75906,0.005842,0.005842,0.005842
44,8791,0.38854,0.35246,0.51386,0.90763,0.90969,0.90368,0.95896,0.95629,0.90969,0.90368,0.95728,0.95138,0.14577,0.27114,0.25565,0.75799,0.005743,0.005743,0.005743
45,8988.69,0.38652,0.35631,0.50734,0.90498,0.89569,0.918,0.95262,0.94957,0.89368,0.91578,0.94808,0.94319,0.14894,0.30281,0.26132,0.75901,0.005644,0.005644,0.005644
46,9187.51,0.3851,0.35289,0.49857,0.90392,0.87771,0.94748,0.95815,0.95438,0.89824,0.9212,0.95578,0.94894,0.14839,0.28622,0.25752,0.75833,0.005545,0.005545,0.005545
47,9386.96,0.38359,0.34287,0.49988,0.90575,0.89903,0.93306,0.95297,0.95015,0.89609,0.9304,0.95048,0.94394,0.14698,0.29049,0.25493,0.75815,0.005446,0.005446,0.005446
48,9585.25,0.38211,0.34729,0.49128,0.90546,0.89316,0.92423,0.95576,0.95242,0.8926,0.92281,0.95364,0.94734,0.14384,0.29969,0.2461,0.75802,0.005347,0.005347,0.005347
49,9783.33,0.37806,0.34607,0.48761,0.90066,0.90935,0.91124,0.95652,0.95347,0.90913,0.91006,0.95491,0.94991,0.14412,0.32985,0.24917,0.75786,0.005248,0.005248,0.005248
50,9981.55,0.37758,0.33621,0.48382,0.90175,0.89972,0.90568,0.95337,0.94984,0.89972,0.90568,0.95183,0.94741,0.14137,0.31063,0.25256,0.75761,0.005149,0.005149,0.005149
51,10179.8,0.37386,0.34133,0.47833,0.90096,0.91606,0.92238,0.96281,0.95952,0.91531,0.92163,0.96073,0.95605,0.14291,0.29458,0.24382,0.75755,0.00505,0.00505,0.00505
52,10377.1,0.37086,0.33761,0.47861,0.9002,0.89024,0.92888,0.95881,0.95599,0.88785,0.92675,0.95589,0.95058,0.14089,0.3148,0.24642,0.75719,0.004951,0.004951,0.004951
53,10575.3,0.36947,0.33416,0.47342,0.89819,0.90238,0.90363,0.95345,0.95056,0.90241,0.90335,0.95097,0.94635,0.13827,0.3123,0.24049,0.75647,0.004852,0.004852,0.004852
54,10775,0.36898,0.34092,0.46608,0.90038,0.89078,0.93446,0.96014,0.95752,0.88873,0.93253,0.9576,0.95231,0.13969,0.28745,0.24369,0.75632,0.004753,0.004753,0.004753
55,10973.2,0.36888,0.3348,0.46993,0.90046,0.91113,0.92393,0.96547,0.96329,0.90274,0.92522,0.96332,0.95855,0.1401,0.31582,0.23816,0.75636,0.004654,0.004654,0.004654
56,11171.9,0.36288,0.32314,0.45784,0.89575,0.90157,0.93104,0.96244,0.95825,0.89963,0.92881,0.95987,0.95486,0.13774,0.30762,0.23981,0.7563,0.004555,0.004555,0.004555
57,11373.2,0.36648,0.32917,0.4601,0.9013,0.91202,0.91555,0.96117,0.95808,0.91006,0.91333,0.9587,0.95418,0.13661,0.31398,0.24027,0.75611,0.004456,0.004456,0.004456
58,11571.5,0.36441,0.32227,0.45519,0.90122,0.92594,0.91179,0.96489,0.96261,0.92594,0.91179,0.9632,0.95837,0.13586,0.28965,0.23005,0.75633,0.004357,0.004357,0.004357
59,11770.9,0.36082,0.32473,0.45398,0.89949,0.89529,0.93822,0.96305,0.96089,0.9051,0.92199,0.96111,0.95591,0.13732,0.2927,0.23142,0.75659,0.004258,0.004258,0.004258
60,11973.2,0.35996,0.32283,0.44832,0.89626,0.91429,0.92782,0.9666,0.96399,0.91429,0.92782,0.96502,0.96071,0.13605,0.30285,0.2257,0.75635,0.004159,0.004159,0.004159
61,12170.9,0.35574,0.31988,0.44333,0.89436,0.92688,0.92568,0.96481,0.96236,0.92688,0.92568,0.96311,0.95904,0.1344,0.28391,0.22821,0.75574,0.00406,0.00406,0.00406
62,12371.5,0.35685,0.32303,0.44007,0.89715,0.89722,0.93636,0.96052,0.95717,0.89541,0.93413,0.95757,0.95335,0.13571,0.29466,0.23343,0.75568,0.003961,0.003961,0.003961
63,12573,0.35296,0.31501,0.43699,0.89407,0.90768,0.9457,0.96701,0.96398,0.90573,0.94348,0.96492,0.96081,0.13391,0.27672,0.21961,0.7554,0.003862,0.003862,0.003862
64,12771.2,0.35812,0.32501,0.43612,0.89605,0.91203,0.93131,0.96456,0.96137,0.91203,0.93131,0.96231,0.95889,0.13382,0.28832,0.22127,0.7554,0.003763,0.003763,0.003763
65,12974.6,0.35794,0.3209,0.4354,0.89501,0.91985,0.92004,0.96271,0.96013,0.91777,0.91781,0.96001,0.95586,0.1332,0.27579,0.2266,0.75552,0.003664,0.003664,0.003664
